,id,name,last,party,state,Endorsement,Ideology
161,A000014,"Rep. Abercrombie, Neil [D-HI-1]",Abercrombie,D,HI,Obama,-0.432
729,A000022,"Rep. Ackerman, Gary L. [D-NY-5]",Ackerman,D,NY,Clinton,-0.429
466,A000055,"Rep. Aderholt, Robert B. [R-AL-4]",Aderholt,R,AL,Romney,0.384
827,A000364,"Rep. Adler, John H. [D-NJ-3]",Adler,D,NJ,No Endorsement,-0.114
372,A000358,"Rep. Akin, W. Todd [R-MO-2]",Akin,R,MO,No Endorsement,0.612
348,A000361,"Rep. Alexander, Rodney [R-LA-5]",Alexander,R,LA,Romney,0.331
279,A000362,"Rep. Altmire, Jason [D-PA-4]",Altmire,D,PA,No Endorsement,-0.133
463,A000210,"Rep. Andrews, Robert E. [D-NJ-1]",Andrews,D,NJ,Clinton,-0.297
367,A000363,"Rep. Arcuri, Michael A. [D-NY-24]",Arcuri,D,NY,Clinton,-0.206
1021,A000365,"Rep. Austria, Steve [R-OH-7]",Austria,R,OH,No Endorsement,0.367
110,B001234,"Rep. Baca, Joe [D-CA-43]",Baca,D,CA,No Endorsement,-0.349
285,B001256,"Rep. Bachmann, Michele [R-MN-6]",Bachmann,R,MN,No Endorsement,0.584
1016,B000013,"Rep. Bachus, Spencer [R-AL-6]",Bachus,R,AL,McCain,0.387
113,B001229,"Rep. Baird, Brian [D-WA-3]",Baird,D,WA,No Endorsement,-0.342
48,B001230,"Rep. Baldwin, Tammy [D-WI-2]",Baldwin,D,WI,Clinton,-0.493
491,B001239,"Rep. Barrett, J. Gresham [R-SC-3]",Barrett,R,SC,Thompson,0.653
1290,B001252,"Rep. Barrow, John [D-GA-12]",Barrow,D,GA,No Endorsement,-0.119
114,B000208,"Rep. Bartlett, Roscoe G. [R-MD-6]",Bartlett,R,MD,No Endorsement,0.493
461,B000213,"Rep. Barton, Joe [R-TX-6]",Barton,R,TX,No Endorsement,0.528
946,B001253,"Rep. Bean, Melissa L. [D-IL-8]",Bean,D,IL,Obama,-0.155
1665,B000287,"Rep. Becerra, Xavier [D-CA-31]",Becerra,D,CA,Dodd,-0.512
30,B001231,"Rep. Berkley, Shelley [D-NV-1]",Berkley,D,NV,Not Endorsing,-0.302
88,B000410,"Rep. Berman, Howard L. [D-CA-28]",Berman,D,CA,No Endorsement,-0.404
